idx,tsDeltaMs,speedKmh,g_old,g_new
165,9200,59.10,0.4955,0.5309
166,9240,59.70,0.4247,0.6088
167,9280,61.10,0.9911,0.5946
168,9320,61.70,0.4247,0.5522
169,9360,62.30,0.4247,0.4318
170,9400,63.00,0.4955,0.3681
171,9440,63.50,0.3539,0.3327
172,9480,63.70,0.1416,0.2973
173,9520,64.30,0.4247,0.2973
174,9560,64.70,0.2832,0.3398
175,9600,65.10,0.2832,0.3681
176,9640,65.70,0.4247,0.4177
177,9680,66.40,0.4955,0.4318
178,9720,67.00,0.4247,0.4035
179,9760,67.50,0.3539,0.3823
180,9800,68.00,0.3539,0.3610
181,9840,68.60,0.4247,0.3115
182,9880,69.00,0.2832,0.2832
183,9920,69.20,0.1416,0.2902
184,9960,69.70,0.3539,0.3327
185,10000,70.30,0.4247,0.3752
186,10040,70.80,0.3539,0.3256
187,10080,71.30,0.3539,0.2761
188,10120,71.50,0.1416,0.2832
189,10200,71.90,0.1416,0.2973
190,10240,72.50,0.4247,0.3115
191,10280,72.90,0.2832,0.3044
192,10320,73.20,0.2124,0.2973
193,10360,73.70,0.3539,0.3115
194,10480,74.20,0.1180,0.3610
195,10520,74.60,0.2832,0.3752
196,10560,75.30,0.4955,0.5238
197,10600,75.80,0.3539,0.5946
198,10640,77.30,1.0618,0.5522
199,10680,77.80,0.3539,0.4743
200,10720,78.20,0.2832,0.2902
201,10800,78.70,0.1770,0.2619
202,10840,78.90,0.1416,0.2690
203,10880,79.30,0.2832,0.3610
204,10920,79.80,0.3539,0.4460
205,10960,80.80,0.7079,0.4601
206,11000,81.30,0.3539,0.4247
207,11040,81.80,0.3539,0.3398
208,11080,82.30,0.3539,0.3327
209,11120,82.70,0.2832,0.3469
210,11160,83.20,0.3539,0.3469
211,11200,83.80,0.4247,0.3256
212,11240,84.20,0.2832,0.2902
213,11280,84.50,0.2124,0.2619
214,11320,84.90,0.2832,0.2832
215,11360,85.30,0.2832,0.3044
216,11400,85.80,0.3539,0.3186
217,11440,86.20,0.2832,0.3186
218,11480,86.70,0.3539,0.3469
219,11520,87.10,0.2832,0.3610
220,11560,87.80,0.4955,0.3186
221,11600,88.20,0.2832,0.2973
222,11640,88.40,0.1416,0.2902
223,11680,88.90,0.3539,0.3469
224,11720,89.50,0.4247,0.3823
225,11760,90.10,0.4247,0.3115
226,11800,90.50,0.2832,0.2053
227,11840,90.60,0.0708,0.1699
228,11920,90.70,0.0354,0.1841
229,11960,91.20,0.3539,0.2832
230,12000,91.50,0.2124,0.4106
231,12040,92.20,0.4955,0.4247
232,12080,93.10,0.6371,0.3964
233,12120,93.40,0.2124,0.3115
234,12160,93.70,0.2124,0.2194
235,12200,94.10,0.2832,0.2548
236,12240,94.30,0.1416,0.2690
237,12280,94.90,0.4247,0.2902
238,12320,95.20,0.2124,0.3398
239,12360,95.70,0.3539,0.3186
240,12400,96.30,0.4247,0.3044
241,12440,96.60,0.2124,0.2690
242,12480,96.90,0.2124,0.2902
243,12520,97.30,0.2832,0.3327
244,12560,98.00,0.4955,0.3044
245,12600,98.40,0.2832,0.1416
246,12640,98.50,0.0708,0.0708
