idx,tsDeltaMs,speedKmh,g_old,g_new
167,7000,76.80,0.3539,0.2407
168,7200,77.10,0.0425,0.2548
169,7240,77.40,0.2124,0.2336
170,7280,77.80,0.2832,0.5168
171,7320,78.10,0.2124,0.6513
172,7360,80.40,1.6282,0.6371
173,7400,80.70,0.2124,0.5238
174,7440,81.00,0.2124,0.2690
175,7480,81.50,0.3539,0.3044
176,7520,81.90,0.2832,0.3469
177,7560,82.40,0.3539,0.3469
178,7600,83.00,0.4247,0.3398
179,7640,83.40,0.2832,0.3115
180,7760,83.80,0.0944,0.2973
181,7800,84.20,0.2832,0.3186
182,7840,84.70,0.3539,0.3964
183,7880,85.20,0.3539,0.4672
184,7920,86.10,0.6371,0.4672
185,7960,86.80,0.4955,0.4460
186,8000,87.20,0.2832,0.3681
187,8040,87.80,0.4247,0.3115
188,8080,88.20,0.2832,0.3044
189,8120,88.50,0.2124,0.2690
190,8160,89.00,0.3539,0.2548
191,8200,89.30,0.2124,0.2265
192,8240,89.60,0.2124,0.2336
193,8280,89.80,0.1416,0.2690
194,8320,90.40,0.4247,0.2690
195,8360,90.80,0.2832,0.2690
196,8400,91.00,0.1416,0.2265
197,8440,91.40,0.2832,0.2336
198,8480,91.70,0.2124,0.2478
199,8520,92.10,0.2832,0.2336
200,8560,92.40,0.2124,0.2407
201,8600,92.70,0.2124,0.2478
202,8680,93.10,0.1416,0.2832
203,8720,93.50,0.2832,0.3044
204,8760,94.00,0.3539,0.3327
205,8800,94.40,0.2832,0.3398
206,8880,95.00,0.2124,0.3539
207,8920,95.40,0.2832,0.3539
208,8960,96.00,0.4247,0.3539
209,9000,96.40,0.2832,0.3539
210,9040,97.00,0.4247,0.3115
211,9080,97.40,0.2832,0.3044
212,9120,97.70,0.2124,0.3115
213,9160,98.20,0.3539,0.3186
214,9200,98.80,0.4247,0.3834
215,9240,99.10,0.2124,-0.0413
